title,url,price,rating,reviews,packsize,protocal,sense_temp,sense_motion,sense_humidity,sense_uv,sense_light,sense_vibration,sense_plant,sense_door,total_sensors,adjprice,pps,sensors
"Wireless Security Camera, Rechargeable Battery Powered WiFi Camera, 2-Way Audio, 1080P HD Night Vision, PIR Motion Sensor, Indoor/Outdoor, Waterproof, Cloud Storage/SD Slot, Works with Alexa",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0037907PMGLXZ7XNQTY&url=%2FWireless-Security-Rechargeable-Battery-Waterproof%2Fdp%2FB08F9CN7T9%2Fref%3Dsr_1_32_sspa%3Fdchild%3D1%26keywords%3Dmotion%2Bsensor%26qid%3D1612629141%26sr%3D8-32-spons%26psc%3D1%26smid%3DA2HZ4BCI0L23F0&qualifier=1612629141&id=2158236111209677&widgetName=sp_mtf,75.9905,4.7,34.0,1.0,wifi,False,True,False,False,False,False,False,False,1,75.9905,75.9905,['motion']
AGSHOME ZIGBEE Motion Sensor for Echo Plus Echo Studio & Echo Show 2nd Generation,/AGSHOME-ZIGBEE-Motion-Sensor-Generation/dp/B0892ZKZ4P/ref=sr_1_55?dchild=1&keywords=motion+sensor&qid=1612629141&sr=8-55,20.890499999999996,3.5,98.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,20.890499999999996,20.890499999999996,['motion']
"Aqara Motion Sensor, REQUIRES AQARA HUB, Zigbee Connection, for Alarm System and Smart Home Automation, Broad Detection Range, Compatible with Apple HomeKit, Alexa",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10200283TZ7UFD9922I4&url=%2FAqara-RTCGQ11LM-Motion-Sensor-White%2Fdp%2FB07D1CRRVF%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmotion%2Bsensor%2Bzigbee%26qid%3D1612629142%26sr%3D8-2-spons%26psc%3D1&qualifier=1612629142&id=1325610365621623&widgetName=sp_atf,19.1805,4.3,262.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,19.1805,19.1805,['motion']
"SONOFF SNZB-03 ZigBee Motion Sensor, Wireless Motion Detector Get Alerts or Trigger Lights to Turn on, SONOFF Zigbee Bridge Required",/Wireless-Detector-Required-Batteries-Included/dp/B08BFFJ69V/ref=sr_1_3?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-3,18.990499999999997,3.7,70.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,18.990499999999997,18.990499999999997,['motion']
"Aqara Motion Sensor, REQUIRES AQARA HUB, Zigbee Connection, for Alarm System and Smart Home Automation, Broad Detection Range, Compatible with Apple HomeKit, Alexa",/Aqara-RTCGQ11LM-Motion-Sensor-White/dp/B07D1CRRVF/ref=sr_1_4?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-4,19.1805,4.3,262.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,19.1805,19.1805,['motion']
AGSHOME ZIGBEE Motion Sensor for Echo Plus Echo Studio & Echo Show 2nd Generation,/AGSHOME-ZIGBEE-Motion-Sensor-Generation/dp/B0892ZKZ4P/ref=sr_1_5?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-5,20.890499999999996,3.5,98.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,20.890499999999996,20.890499999999996,['motion']
"Linkind PIR Motion Sensor, Wireless Motion Detector, Zigbee-White, for DIY Use with Linkind Home Security System, Automation with Linkind Smart Zigbee LED Lights, LINKIND Hub Required (NOT Included)",/Linkind-Wireless-Detector-Zigbee-White-Automation/dp/B07Y9MST7Y/ref=sr_1_6?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-6,42.60601431718048,4.0,77.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,42.223382984581356,27.62923816079289,['motion']
"Zooz Z-Wave Plus S2 Motion Sensor ZSE18 with Magnetic Mount, Works with Vera and SmartThings",/Z-Wave-Motion-ZSE18-Magnetic-SmartThings/dp/B07FHL7J11/ref=sr_1_7?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-7,28.452499999999997,3.7,106.0,1.0,zwave,False,True,False,False,False,False,False,False,1,28.452499999999997,28.452499999999997,['motion']
ZOOZ Z-Wave Plus 4-in-1 Sensor ZSE40 VER. 2.0 (Motion/Light/Temperature/Humidity),/ZOOZ-Z-Wave-Sensor-Temperature-Humidity/dp/B01AKSO80O/ref=sr_1_9?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-9,37.9525,4.0,521.0,1.0,zwave,True,True,True,False,False,False,False,False,3,37.9525,12.650833333333333,"['temp,motion,humidity']"
"OWSOO Motion Sensor,SONOFF SNZB-03 ZigBee Motion Sensor,Wireless Dual Infrared Detector,PIR Motion Sensor,Work with ZigBee Bridge via eWeLink APP,IFTTT Smart Home Automation,Security Alarm System",/OWSOO-Wireless-Infrared-Detector-Automation/dp/B08DRHDFTM/ref=sr_1_10?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-10,18.040499999999998,3.8,14.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,18.040499999999998,18.040499999999998,['motion']
"Aeotec Multisensor 6, Z-Wave Plus 6-in1 motion, temperature, humidity, light, UV, vibration sensor",/Aeotec-Multisensor-temperature-humidity-vibration/dp/B0151Z8ZQY/ref=sr_1_12?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-12,56.9905,4.0,547.0,1.0,zwave,True,True,True,True,False,True,False,False,5,56.9905,11.3981,"['temp,motion,humidity,uv,vibration']"
